UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
05:18:18, 1154, -41, 88924, 11.55, 344.80, 20.81, 49.00,  , 36.531825, -5.189840, -0.1
05:18:19, 1154, -41, 88922, 13.50, 341.60, 20.81, 48.95,  ,  ,  , -0.1
05:18:20, 1154, -41, 88921, 10.95, 343.40, 20.81, 48.95,  ,  ,  , -0.1
05:18:21, 1154, -41, 88920, 13.70, 343.80, 20.81, 48.90,  , 36.532143, -5.189963, 0
05:18:22, 1154, -41, 88918, 11.00, 341.20, 20.81, 48.90,  ,  ,  , 0
05:18:23, 1154, -41, 88917, 11.00, 341.20, 20.81, 48.85,  ,  ,  , 0
05:18:24, 1155, -40, 88916, 11.75, 340.50, 20.83, 48.85,  , 36.532460, -5.190082, 0.1
05:18:26, 1155, -40, 88909, 11.95, 342.40, 20.83, 48.90,  ,  ,  , 0.1
05:18:27, 1156, -39, 88906, 12.70, 342.90, 20.83, 48.85,  , 36.532780, -5.190203, 0.1
05:18:28, 1156, -39, 88900, 11.80, 344.20, 20.83, 48.80,  ,  ,  , 0.2
05:18:29, 1157, -38, 88895, 13.30, 341.80, 20.83, 48.75,  ,  ,  , 0.2
05:18:30, 1157, -38, 88890, 11.45, 345.10, 20.83, 48.75,  , 36.533102, -5.190323, 0.3
05:18:31, 1158, -37, 88884, 13.75, 342.90, 20.83, 48.80,  ,  ,  , 0.3
05:18:32, 1158, -37, 88879, 11.20, 341.30, 20.83, 48.80,  ,  ,  , 0.3
05:18:33, 1159, -36, 88874, 13.55, 344.50, 20.83, 48.75, 22.75, 36.533425, -5.190447, 0.4
05:18:34, 1159, -36, 88866, 11.85, 341.70, 20.83, 48.70,  ,  ,  , 0.4
05:18:35, 1160, -35, 88859, 13.20, 342.50, 20.83, 48.75,  ,  ,  , 0.4
05:18:36, 1161, -34, 88852, 11.40, 345.50, 20.83, 48.70,  , 36.533748, -5.190570, 0.5
05:18:37, 1162, -33, 88842, 13.70, 344.30, 20.83, 48.65,  ,  ,  , 0.5
05:18:38, 1163, -32, 88833, 11.55, 339.60, 20.83, 48.65,  ,  ,  , 0.6
05:18:39, 1163, -32, 88824, 13.55, 345.50, 20.83, 48.60,  , 36.534073, -5.190692, 0.7
05:18:40, 1164, -31, 88814, 11.95, 343.00, 20.83, 48.55,  ,  ,  , 0.7
05:18:41, 1165, -30, 88805, 13.60, 345.30, 20.83, 48.50,  ,  ,  , 0.7
05:18:42, 1166, -29, 88796, 12.20, 345.00, 20.83, 48.55,  , 36.534407, -5.190808, 0.7
05:18:43, 1167, -28, 88785, 13.10, 340.70, 20.83, 48.55,  ,  ,  , 0.8
05:18:44, 1168, -27, 88774, 12.10, 343.90, 20.83, 48.55,  ,  ,  , 0.8
05:18:45, 1169, -26, 88764, 13.15, 346.10, 20.83, 48.50,  , 36.534733, -5.190930, 0.9
05:18:46, 1171, -24, 88750, 12.80, 340.70, 20.83, 48.50,  ,  ,  , 0.9
05:18:47, 1172, -23, 88737, 13.10, 344.90, 20.83, 48.50,  ,  ,  , 1.0
05:18:48, 1173, -22, 88724, 12.20, 343.50, 20.83, 48.50,  , 36.535063, -5.191052, 1.0
05:18:49, 1174, -21, 88712, 13.15, 346.60, 20.83, 48.50,  ,  ,  , 1.1
05:18:50, 1175, -20, 88701, 12.50, 338.40, 20.81, 48.50,  ,  ,  , 1.1
05:18:51, 1176, -19, 88690, 13.25, 348.30, 20.81, 48.45,  , 36.535395, -5.191170, 1.1
05:18:52, 1178, -17, 88675, 12.45, 341.80, 20.81, 48.45,  ,  ,  , 1.1
05:18:53, 1179, -16, 88660, 12.75, 346.60, 20.81, 48.45,  ,  ,  , 1.2
05:18:54, 1181, -14, 88646, 12.15, 339.30, 20.81, 48.45,  , 36.535728, -5.191288, 1.2
05:18:55, 1182, -13, 88630, 13.25, 348.00, 20.81, 48.45,  ,  ,  , 1.2
05:18:56, 1184, -11, 88615, 12.90, 340.70, 20.81, 48.45,  ,  ,  , 1.3
05:18:57, 1185, -10, 88600, 12.85, 344.70, 20.81, 48.45,  , 36.536067, -5.191413, 1.3
05:18:59, 1188, -7, 88569, 12.70, 347.30, 20.79, 48.45,  ,  ,  , 1.4
05:19:00, 1190, -5, 88554, 12.55, 340.90, 20.77, 48.45, 23.00, 36.536407, -5.191535, 1.4
05:19:01, 1191, -4, 88538, 13.15, 345.50, 20.75, 48.45,  ,  ,  , 1.4
05:19:02, 1193, -2, 88522, 12.50, 344.20, 20.73, 48.45,  ,  ,  , 1.4
05:19:03, 1194, -1, 88506, 12.80, 344.70, 20.71, 48.45,  , 36.536743, -5.191653, 1.5
05:19:04, 1196, 0, 88491, 13.10, 342.90, 20.70, 48.45,  ,  ,  , 1.5
05:19:05, 1197, 1, 88476, 13.65, 345.60, 20.70, 48.45,  ,  ,  , 1.5
05:19:06, 1199, 3, 88462, 13.75, 340.70, 20.68, 48.40,  , 36.537092, -5.191782, 1.5
05:19:08, 1202, 6, 88426, 13.30, 338.10, 20.67, 48.40,  ,  ,  , 1.5
05:19:09, 1204, 8, 88408, 13.85, 344.80, 20.65, 48.45,  , 36.537447, -5.191918, 1.6
05:19:10, 1205, 9, 88395, 12.70, 339.60, 20.64, 48.45,  ,  ,  , 1.5
05:19:11, 1206, 10, 88382, 14.30, 343.10, 20.63, 48.50,  ,  ,  , 1.5
05:19:12, 1208, 12, 88370, 13.75, 341.50, 20.62, 48.50,  , 36.537795, -5.192063, 1.5
05:19:13, 1209, 13, 88355, 13.65, 342.80, 20.61, 48.40,  ,  ,  , 1.5
05:19:14, 1210, 14, 88340, 13.65, 344.50, 20.60, 48.30,  ,  ,  , 1.5
05:19:15, 1212, 16, 88326, 13.80, 345.10, 20.58, 48.20,  , 36.538153, -5.192193, 1.5
05:19:16, 1213, 17, 88310, 13.40, 341.70, 20.57, 48.15,  ,  ,  , 1.5
05:19:17, 1215, 19, 88295, 13.45, 344.90, 20.55, 48.10,  ,  ,  , 1.5
05:19:18, 1216, 20, 88280, 13.50, 342.40, 20.55, 48.05,  , 36.538507, -5.192323, 1.5
05:19:19, 1218, 22, 88265, 13.50, 347.90, 20.54, 48.10,  ,  ,  , 1.5
05:19:20, 1219, 23, 88250, 13.60, 339.50, 20.54, 48.15,  ,  ,  , 1.4
05:19:21, 1221, 25, 88236, 13.55, 348.30, 20.53, 48.10,  , 36.538870, -5.192448, 1.4
05:19:22, 1222, 26, 88221, 13.50, 341.40, 20.53, 48.00,  ,  ,  , 1.4
05:19:23, 1224, 28, 88206, 14.60, 348.50, 20.53, 47.95,  ,  ,  , 1.4
05:19:24, 1225, 29, 88192, 13.30, 343.10, 20.53, 47.85,  , 36.539232, -5.192567, 1.5
05:19:26, 1228, 32, 88160, 13.30, 342.60, 20.53, 47.80,  ,  ,  , 1.5
05:19:27, 1230, 34, 88144, 13.60, 345.70, 20.53, 47.80, 23.00, 36.539587, -5.192687, 1.5
05:19:28, 1231, 35, 88128, 13.60, 345.70, 20.53, 47.75,  ,  ,  , 1.5
05:19:29, 1233, 37, 88113, 13.50, 348.40, 20.53, 47.75,  ,  ,  , 1.5
05:19:30, 1234, 38, 88098, 12.50, 345.00, 20.53, 47.75,  , 36.539937, -5.192803, 1.5
05:19:31, 1236, 40, 88081, 12.90, 346.30, 20.53, 47.75,  ,  ,  , 1.5
05:19:32, 1238, 42, 88065, 13.10, 344.00, 20.53, 47.75,  ,  ,  , 1.5
05:19:33, 1239, 43, 88050, 12.95, 346.90, 20.53, 47.75,  , 36.540290, -5.192920, 1.5
05:19:34, 1241, 45, 88034, 12.20, 346.80, 20.52, 47.75,  ,  ,  , 1.5
05:19:35, 1242, 46, 88019, 14.10, 343.70, 20.51, 47.75,  ,  ,  , 1.5
05:19:36, 1244, 48, 88004, 12.45, 346.10, 20.51, 47.75,  , 36.540637, -5.193032, 1.5
05:19:37, 1245, 49, 87985, 13.65, 344.20, 20.50, 47.70,  ,  ,  , 1.6
05:19:38, 1247, 51, 87967, 13.35, 346.80, 20.49, 47.75,  ,  ,  , 1.6
05:19:39, 1249, 53, 87950, 12.90, 343.70, 20.49, 47.75,  , 36.540980, -5.193143, 1.6
05:19:40, 1250, 54, 87935, 12.75, 344.90, 20.48, 47.70,  ,  ,  , 1.6
05:19:41, 1252, 56, 87919, 13.80, 347.70, 20.47, 47.70,  ,  ,  , 1.6
05:19:42, 1253, 57, 87904, 12.60, 345.70, 20.44, 47.75,  , 36.541322, -5.193250, 1.6
05:19:43, 1255, 59, 87886, 12.75, 345.70, 20.44, 47.80,  ,  ,  , 1.6
05:19:44, 1257, 61, 87869, 12.75, 345.70, 20.42, 47.80,  ,  ,  , 1.6
05:19:45, 1259, 63, 87852, 12.95, 345.40, 20.42, 47.85,  , 36.541663, -5.193347, 1.6
05:19:46, 1260, 64, 87833, 12.70, 348.30, 20.41, 47.90,  ,  ,  , 1.7
05:19:47, 1262, 66, 87815, 13.75, 348.20, 20.40, 47.90,  ,  ,  , 1.7
05:19:48, 1264, 68, 87798, 12.60, 348.40, 20.38, 47.95,  , 36.542010, -5.193440, 1.7
05:19:49, 1266, 70, 87778, 13.30, 346.40, 20.37, 47.95,  ,  ,  , 1.7
05:19:50, 1268, 72, 87759, 12.75, 349.30, 20.35, 48.00,  ,  ,  , 1.7
05:19:51, 1270, 74, 87740, 13.30, 344.10, 20.34, 48.00,  , 36.542353, -5.193533, 1.7
05:19:53, 1273, 77, 87702, 13.90, 345.60, 20.32, 48.05,  ,  ,  , 1.8
05:19:54, 1275, 79, 87684, 12.15, 349.20, 20.31, 48.05, 23.00, 36.542700, -5.193628, 1.8
05:19:56, 1280, 84, 87639, 12.70, 348.30, 20.28, 48.10,  ,  ,  , 1.9
05:19:57, 1282, 86, 87618, 12.85, 347.50, 20.27, 48.10,  , 36.543038, -5.193712, 1.9
05:19:59, 1286, 90, 87572, 12.55, 347.00, 20.26, 48.10,  ,  ,  , 2.0
05:20:00, 1289, 93, 87550, 12.55, 355.80, 20.25, 48.05,  , 36.543370, -5.193782, 2.0
05:20:02, 1293, 97, 87505, 12.85, 356.40, 20.25, 47.95,  ,  ,  , 2.1
05:20:03, 1295, 99, 87484, 12.55, 347.00, 20.25, 47.90,  , 36.543705, -5.193845, 2.1
05:20:05, 1299, 103, 87440, 11.65, 350.80, 20.25, 47.85,  ,  ,  , 2.1
05:20:06, 1302, 106, 87418, 13.40, 355.40, 20.25, 47.80,  , 36.544035, -5.193895, 2.2
05:20:09, 1309, 113, 87346, 12.30, 350.40, 20.24, 47.60,  , 36.544370, -5.193945, 2.2
05:20:11, 1313, 117, 87304, 12.90, 352.10, 20.24, 47.55,  ,  ,  , 2.2
05:20:12, 1315, 119, 87284, 12.60, 357.10, 20.24, 47.50,  , 36.544708, -5.193993, 2.2
05:20:13, 1317, 121, 87259, 12.70, 347.80, 20.23, 47.45,  ,  ,  , 2.2
05:20:14, 1320, 124, 87235, 11.85, 358.30, 20.23, 47.45,  ,  ,  , 2.2
05:20:15, 1322, 126, 87212, 12.95, 350.00, 20.22, 47.40,  , 36.545042, -5.194043, 2.2
05:20:16, 1324, 128, 87190, 12.40, 352.90, 20.21, 47.40,  ,  ,  , 2.3
05:20:17, 1326, 130, 87168, 12.80, 353.20, 20.20, 47.40,  ,  ,  , 2.3
05:20:18, 1329, 133, 87146, 11.80, 355.80, 20.19, 47.40,  , 36.545377, -5.194092, 2.2
05:20:19, 1331, 135, 87123, 13.20, 352.50, 20.18, 47.40,  ,  ,  , 2.3
05:20:20, 1333, 137, 87099, 12.55, 352.40, 20.16, 47.40,  ,  ,  , 2.3
05:20:21, 1336, 140, 87076, 13.25, 356.40, 20.14, 47.45, 22.75, 36.545718, -5.194138, 2.3
05:20:22, 1339, 143, 87039, 12.00, 354.20, 20.12, 47.45,  ,  ,  , 2.3
05:20:23, 1343, 147, 87002, 13.00, 355.40, 20.10, 47.40,  ,  ,  , 2.5
05:20:24, 1346, 150, 86966, 11.60, 352.80, 20.09, 47.45,  , 36.546053, -5.194178, 2.6
05:20:25, 1349, 153, 86941, 12.90, 356.60, 20.08, 47.50,  ,  ,  , 2.6
05:20:26, 1351, 155, 86916, 13.00, 352.30, 20.06, 47.50,  ,  ,  , 2.6
05:20:27, 1354, 158, 86892, 12.75, 353.40, 20.04, 47.55,  , 36.546397, -5.194225, 2.6
05:20:28, 1356, 160, 86867, 12.05, 355.60, 20.03, 47.55,  ,  ,  , 2.7
05:20:29, 1359, 163, 86843, 12.55, 352.90, 20.02, 47.55,  ,  ,  , 2.7
05:20:30, 1361, 165, 86820, 13.30, 350.70, 19.99, 47.60,  , 36.546735, -5.194273, 2.7
05:20:31, 1364, 168, 86793, 12.35, 353.30, 19.97, 47.60,  ,  ,  , 2.7
05:20:32, 1366, 170, 86766, 13.05, 354.90, 19.95, 47.60,  ,  ,  , 2.7
