# Radiation correction v2.3. Params: lat=36.4726, lon=-5.2708, utc_time=2021-09-13 11:10
UTC time, Height (m AGL), Altitude (m MSL), Pressure (Pa), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg), Dew point (C), Latitude  , Longitude  
09:11:09, 20, 674, 93983, 23.42, 51.4, 5.79, 163.6, 12.82, 36.473373, -5.270967
09:11:16, 40, 694, 93769, 23.30, 51.3, 5.05, 150.6, 12.67, 36.473723, -5.271122
09:11:22, 60, 714, 93556, 23.24, 51.2, 5.09, 122.0, 12.60, 36.473816, -5.271218
09:11:30, 80, 734, 93343, 23.10, 51.4, 5.07, 111.7, 12.54, 36.473928, -5.271619
09:11:37, 100, 754, 93130, 22.94, 51.8, 5.66, 115.1, 12.49, 36.474073, -5.272021
09:11:46, 120, 774, 92917, 22.79, 51.9, 6.62, 123.7, 12.40, 36.474337, -5.272550
09:11:53, 140, 794, 92705, 22.63, 52.0, 7.86, 131.6, 12.28, 36.474606, -5.272978
09:11:59, 160, 814, 92493, 22.44, 52.2, 9.07, 132.6, 12.15, 36.474949, -5.273367
09:12:06, 180, 834, 92282, 22.26, 52.4, 10.09, 131.2, 12.04, 36.475386, -5.274072
09:12:15, 200, 854, 92071, 22.10, 52.6, 10.67, 130.7, 11.94, 36.475910, -5.274835
09:12:26, 220, 874, 91860, 21.94, 52.8, 10.80, 132.8, 11.87, 36.476670, -5.275886
09:12:36, 240, 894, 91650, 21.76, 53.2, 10.74, 134.8, 11.81, 36.477354, -5.276788
09:12:46, 260, 914, 91440, 21.48, 53.8, 10.54, 136.8, 11.72, 36.478055, -5.277599
09:13:02, 280, 934, 91230, 21.28, 54.3, 10.35, 135.0, 11.68, 36.479114, -5.278813
09:16:56, 300, 954, 91022, 22.38, 49.2, 6.27, 152.3, 11.19, 36.487028, -5.286429
09:17:06, 320, 974, 90815, 23.46, 44.0, 4.17, 144.4, 10.52, 36.487086, -5.286452
09:17:19, 340, 994, 90608, 24.06, 40.9, 1.78, 113.3, 9.95, 36.487132, -5.286554
09:17:31, 360, 1014, 90402, 23.91, 41.1, 0.31, 94.7, 9.87, 36.487139, -5.286670
09:17:43, 380, 1034, 90196, 23.73, 41.3, 0.66, 98.0, 9.81, 36.487167, -5.286751
09:17:56, 400, 1054, 89991, 23.60, 41.5, 1.14, 123.2, 9.76, 36.487214, -5.286889
09:18:06, 420, 1074, 89786, 23.49, 41.7, 1.69, 154.2, 9.72, 36.487357, -5.286980
09:18:15, 440, 1094, 89581, 23.35, 41.9, 2.21, 175.4, 9.65, 36.487539, -5.287019
09:18:23, 460, 1114, 89377, 23.15, 42.1, 2.62, 180.0, 9.58, 36.487766, -5.286982
09:18:31, 480, 1134, 89173, 22.95, 42.5, 2.58, 179.3, 9.52, 36.487946, -5.286982
09:18:40, 500, 1154, 88969, 22.76, 42.8, 2.43, 186.5, 9.47, 36.488132, -5.286988
09:18:49, 520, 1174, 88766, 22.55, 43.2, 2.45, 199.0, 9.41, 36.488277, -5.286952
09:18:58, 540, 1194, 88563, 22.31, 43.7, 2.48, 200.9, 9.36, 36.488457, -5.286889
09:19:07, 560, 1214, 88360, 22.08, 44.2, 2.60, 209.8, 9.31, 36.488644, -5.286814
09:19:19, 580, 1234, 88158, 21.97, 44.4, 2.78, 214.0, 9.28, 36.488873, -5.286597
09:19:28, 600, 1254, 87956, 21.83, 44.6, 2.90, 216.4, 9.23, 36.489048, -5.286458
09:19:36, 620, 1274, 87754, 21.67, 44.8, 3.08, 214.9, 9.16, 36.489234, -5.286281
09:19:43, 640, 1294, 87553, 21.52, 45.1, 3.32, 212.4, 9.10, 36.489414, -5.286129
09:19:50, 660, 1314, 87352, 21.37, 45.3, 3.51, 211.2, 9.05, 36.489566, -5.285995
09:19:56, 680, 1334, 87151, 21.20, 45.6, 3.44, 211.3, 8.99, 36.489709, -5.285885
09:20:01, 700, 1354, 86951, 20.95, 46.1, 3.48, 211.7, 8.91, 36.489857, -5.285756
09:20:08, 720, 1374, 86751, 20.80, 46.4, 3.46, 215.2, 8.86, 36.490040, -5.285617
09:20:15, 740, 1394, 86552, 20.64, 46.7, 3.65, 220.3, 8.82, 36.490181, -5.285469
09:20:21, 760, 1414, 86352, 20.36, 47.3, 3.80, 220.4, 8.76, 36.490351, -5.285281
09:20:27, 780, 1434, 86153, 20.14, 47.8, 3.98, 216.8, 8.71, 36.490521, -5.285100
09:20:33, 800, 1454, 85955, 20.01, 48.0, 3.99, 212.5, 8.68, 36.490686, -5.284978
09:20:38, 820, 1474, 85756, 19.83, 48.4, 4.00, 210.7, 8.62, 36.490867, -5.284854
09:20:44, 840, 1494, 85559, 19.64, 48.8, 4.05, 211.1, 8.57, 36.491049, -5.284707
09:20:52, 860, 1514, 85361, 19.43, 49.3, 4.12, 210.6, 8.52, 36.491273, -5.284546
09:20:59, 880, 1534, 85164, 19.24, 49.8, 4.09, 210.4, 8.48, 36.491512, -5.284398
09:21:08, 900, 1554, 84967, 19.05, 50.2, 4.04, 210.5, 8.44, 36.491791, -5.284169
09:21:16, 920, 1574, 84770, 18.90, 50.5, 4.01, 210.4, 8.38, 36.492052, -5.283991
09:21:25, 940, 1594, 84574, 18.69, 50.8, 3.91, 207.5, 8.29, 36.492293, -5.283820
09:21:34, 960, 1614, 84378, 18.51, 51.1, 3.90, 202.9, 8.21, 36.492615, -5.283632
09:21:45, 980, 1634, 84182, 18.45, 51.1, 4.15, 199.2, 8.14, 36.492981, -5.283466
09:21:58, 1000, 1654, 83987, 18.61, 49.9, 4.46, 197.3, 7.94, 36.493379, -5.283327
09:22:12, 1020, 1674, 83793, 18.80, 48.5, 4.92, 197.3, 7.70, 36.493978, -5.283128
09:22:26, 1040, 1694, 83599, 18.89, 47.4, 5.48, 198.0, 7.44, 36.494595, -5.282900
09:22:39, 1060, 1714, 83405, 18.81, 46.5, 5.85, 200.5, 7.10, 36.495312, -5.282625
09:22:52, 1080, 1734, 83212, 18.67, 46.6, 6.55, 203.9, 6.98, 36.495958, -5.282299
09:23:08, 1100, 1754, 83019, 18.58, 46.5, 6.97, 207.6, 6.89, 36.496728, -5.281856
09:23:25, 1120, 1774, 82827, 18.59, 46.2, 7.45, 209.4, 6.81, 36.497772, -5.281164
09:23:41, 1140, 1794, 82634, 18.56, 45.9, 7.93, 210.0, 6.69, 36.498727, -5.280473
09:23:55, 1160, 1814, 82442, 18.53, 45.6, 8.31, 210.0, 6.56, 36.499646, -5.279825
09:24:10, 1180, 1834, 82251, 18.58, 45.1, 8.61, 209.6, 6.43, 36.500629, -5.279113
09:24:23, 1200, 1854, 82060, 18.64, 44.1, 8.72, 208.7, 6.17, 36.501554, -5.278465
09:24:39, 1220, 1874, 81870, 18.57, 43.6, 8.65, 208.4, 5.93, 36.502613, -5.277754
09:24:54, 1240, 1894, 81680, 18.42, 43.5, 8.51, 208.2, 5.76, 36.503673, -5.277044
09:25:11, 1260, 1914, 81490, 18.28, 43.5, 8.37, 208.1, 5.65, 36.504810, -5.276287
09:25:27, 1280, 1934, 81301, 18.17, 43.5, 8.24, 207.6, 5.56, 36.505831, -5.275616
09:25:43, 1300, 1954, 81112, 18.06, 43.3, 8.10, 207.2, 5.37, 36.506874, -5.274958
09:25:59, 1320, 1974, 80924, 17.94, 43.1, 8.03, 206.8, 5.22, 36.507904, -5.274310
09:26:14, 1340, 1994, 80736, 17.87, 43.2, 7.97, 206.6, 5.16, 36.508886, -5.273704
09:26:28, 1360, 2014, 80548, 17.74, 43.3, 7.90, 206.8, 5.10, 36.509758, -5.273159
09:26:41, 1380, 2034, 80360, 17.55, 43.6, 7.84, 207.6, 5.02, 36.510578, -5.272633
09:26:53, 1400, 2054, 80173, 17.43, 43.8, 7.81, 208.2, 4.97, 36.511368, -5.272127
09:27:06, 1420, 2074, 79987, 17.29, 44.0, 7.80, 209.4, 4.92, 36.512143, -5.271604
09:27:18, 1440, 2094, 79800, 17.17, 44.1, 7.76, 210.3, 4.83, 36.512866, -5.271077
09:27:30, 1460, 2114, 79614, 17.07, 43.9, 7.75, 210.1, 4.67, 36.513600, -5.270555
09:27:42, 1480, 2134, 79429, 17.06, 43.7, 7.65, 209.3, 4.60, 36.514350, -5.270026
09:27:54, 1500, 2154, 79243, 16.96, 43.8, 7.57, 209.3, 4.53, 36.515049, -5.269551
09:28:07, 1520, 2174, 79058, 16.80, 43.9, 7.40, 209.5, 4.45, 36.515747, -5.269070
