UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
17:05:07, 80, 0, 100526, 2.35, 350.70, 29.87, 30.70, 33.75, 41.467680, 1.921600, 0
17:05:09, 80, 0, 100524, 1.55, 342.20, 29.50, 30.45,  ,  ,  , 0
17:05:10, 80, 0, 100524, 1.15, 3.90, 29.36, 30.50,  , 41.467722, 1.921588, 0
17:05:11, 80, 0, 100521, 1.15, 14.80, 29.23, 30.65,  ,  ,  , 0
17:05:12, 80, 0, 100519, 1.10, 63.00, 29.16, 31.00,  ,  ,  , 0
17:05:13, 81, 1, 100518, 1.15, 112.80, 29.19, 31.60,  , 41.467740, 1.921610, 0
17:05:14, 83, 3, 100490, 2.45, 166.60, 29.09, 31.70,  ,  ,  , 0.2
17:05:15, 85, 5, 100463, 0.40, 9.90, 28.94, 31.60,  ,  ,  , 0.4
17:05:16, 88, 8, 100436, 0.60, 67.60, 28.79, 31.65,  , 41.467728, 1.921635, 0.6
17:05:17, 90, 10, 100407, 1.10, 99.10, 28.66, 31.75,  ,  ,  , 0.8
17:05:18, 93, 13, 100380, 5.75, 202.50, 28.53, 31.85,  ,  ,  , 1.1
17:05:19, 95, 15, 100354, 6.45, 146.40, 28.49, 32.10,  , 41.467647, 1.921660, 1.3
17:05:20, 98, 18, 100322, 4.80, 150.50, 28.71, 32.50,  ,  ,  , 1.4
17:05:21, 101, 21, 100290, 4.70, 185.80, 29.10, 32.90,  ,  ,  , 1.5
17:05:22, 104, 24, 100258, 6.95, 167.80, 29.53, 32.95,  , 41.467513, 1.921715, 1.8
17:05:23, 108, 28, 100213, 7.25, 165.60, 30.03, 32.80,  ,  ,  , 2.3
17:05:24, 111, 31, 100170, 8.95, 182.40, 30.71, 32.60,  ,  ,  , 2.6
17:05:25, 115, 35, 100128, 3.85, 175.80, 31.30, 32.05,  , 41.467325, 1.921748, 2.9
17:05:26, 119, 39, 100088, 7.20, 217.20, 31.96, 31.20,  ,  ,  , 3.0
17:05:27, 123, 43, 100047, 6.95, 201.40, 32.68, 30.70,  ,  ,  , 3.1
17:05:28, 126, 46, 100006, 5.80, 178.90, 33.07, 29.55,  , 41.467163, 1.921680, 3.2
17:05:29, 129, 49, 99975, 8.80, 189.90, 33.32, 28.65,  ,  ,  , 3.2
17:05:30, 132, 52, 99946, 8.00, 182.00, 33.19, 27.70,  ,  ,  , 3.2
17:05:31, 134, 54, 99918, 5.70, 166.40, 32.95, 27.00,  , 41.466967, 1.921677, 3.2
17:05:33, 144, 64, 99810, 5.05, 151.20, 32.26, 26.55,  ,  ,  , 3.6
17:05:34, 149, 69, 99756, 7.20, 187.80, 32.02, 26.80, 35.25, 41.466795, 1.921728, 3.7
17:05:35, 155, 75, 99694, 8.25, 162.40, 31.82, 27.20,  ,  ,  , 3.9
17:05:36, 160, 80, 99632, 8.80, 185.50, 31.78, 27.60,  ,  ,  , 4.1
17:05:37, 166, 86, 99570, 5.55, 154.60, 31.77, 27.90,  , 41.466572, 1.921745, 4.2
17:05:38, 168, 88, 99548, 9.85, 177.90, 31.73, 28.05,  ,  ,  , 4.1
17:05:39, 170, 90, 99527, 8.05, 156.50, 31.62, 28.10,  ,  ,  , 3.9
17:05:40, 172, 92, 99506, 7.10, 203.70, 31.49, 28.20,  , 41.466363, 1.921788, 3.8
17:05:41, 179, 99, 99424, 8.90, 193.70, 31.48, 28.30,  ,  ,  , 4.2
17:05:42, 186, 106, 99343, 8.55, 202.40, 31.41, 28.50,  ,  ,  , 4.6
17:05:43, 194, 114, 99262, 6.75, 213.20, 31.32, 28.60,  , 41.466180, 1.921720, 4.9
17:05:44, 202, 122, 99169,  , 178.60, 31.25, 28.70,  ,  ,  , 5.2
17:05:45, 211, 131, 99075, 4.75, 162.10, 31.23, 28.85,  ,  ,  , 5.5
17:05:46, 219, 139, 98982, 0.10, 162.10, 31.27, 29.00,  , 41.466048, 1.921723, 5.8
17:05:47, 231, 151, 98855, 7.60, 206.70, 31.29, 29.10,  ,  ,  , 6.3
17:05:48, 241, 161, 98736, 5.75, 171.60, 31.27, 29.05,  ,  ,  , 6.7
17:05:49, 252, 172, 98618, 2.85, 204.70, 31.15, 29.00,  , 41.465913, 1.921683, 7.2
17:05:50, 260, 180, 98533, 4.35, 189.80, 31.07, 29.00,  ,  ,  , 7.7
17:05:51, 268, 188, 98446, 2.25, 107.50, 30.86, 28.95,  ,  ,  , 8.2
17:05:52, 276, 196, 98360, 4.75, 223.20, 30.63, 29.00,  , 41.465842, 1.921675, 8.7
17:05:54, 295, 215, 98144, 6.30, 138.70, 30.30, 29.30,  ,  ,  , 9.1
17:05:55, 305, 225, 98038, 3.80, 171.00, 30.15, 29.50,  , 41.465718, 1.921722, 9.3
17:05:56, 315, 235, 97929, 4.55, 147.30, 29.96, 29.65,  ,  ,  , 9.3
17:05:57, 325, 245, 97825, 6.25, 176.00, 29.80, 29.90,  ,  ,  , 9.4
17:05:58, 334, 254, 97722, 2.35, 175.50, 29.66, 30.10,  , 41.465600, 1.921755, 9.5
17:06:00, 344, 264, 97615, 6.85, 128.30, 29.52, 30.30,  ,  ,  , 9.4
17:06:01, 353, 273, 97513, 2.65, 114.90, 29.36, 30.45,  ,  ,  , 9.2
17:06:02, 362, 282, 97412, 5.30, 87.30, 29.21, 30.60, 36.00, 41.465543, 1.921873, 9.1
17:06:03, 370, 290, 97332, 2.95, 106.30, 29.11, 30.85,  ,  ,  , 9.0
17:06:04, 377, 297, 97256, 1.35, 232.50, 28.99, 31.00,  ,  ,  , 9.0
17:06:05, 384, 304, 97180, 2.40, 70.30, 28.87, 31.15,  , 41.465527, 1.921927, 8.9
17:06:09, 433, 353, 96643, 2.95, 55.50, 27.77, 31.30,  ,  ,  , 9.1
17:06:10, 443, 363, 96532, 0.05, 55.50, 27.48, 31.45,  , 41.465553, 1.922050, 9.2
17:06:11, 453, 373, 96428, 3.15, 112.80, 27.26, 31.65,  ,  ,  , 9.2
17:06:12, 463, 383, 96322, 1.65, 175.00, 27.01, 31.90,  ,  ,  , 9.3
17:06:13, 472, 392, 96216, 1.05, 359.30, 26.76, 32.15,  , 41.465523, 1.922082, 9.3
17:06:14, 482, 402, 96114, 1.80, 287.10, 26.57, 32.50,  ,  ,  , 9.3
17:06:15, 491, 411, 96016, 1.80, 287.10, 26.37, 33.00,  ,  ,  , 9.4
17:06:16, 500, 420, 95918, 0.05, 271.60, 26.17, 33.35,  , 41.465533, 1.922015, 9.6
17:06:17, 508, 428, 95823, 4.10, 243.50, 26.00, 33.70,  ,  ,  , 9.7
17:06:18, 517, 437, 95731, 5.85, 252.90, 25.89, 34.05,  ,  ,  , 9.6
17:06:19, 525, 445, 95640, 3.30, 187.80, 25.74, 34.25,  , 41.465488, 1.921902, 9.5
17:06:20, 533, 453, 95558, 1.50, 221.30, 25.61, 34.55,  ,  ,  , 9.4
17:06:21, 541, 461, 95476, 3.20, 247.60, 25.51, 34.85,  ,  ,  , 8.9
17:06:22, 548, 468, 95394, 1.80, 279.80, 25.41, 35.15,  , 41.465452, 1.921845, 8.7
17:06:23, 555, 475, 95323, 5.10, 258.60, 25.31, 35.35,  ,  ,  , 8.5
17:06:24, 561, 481, 95250, 6.15, 267.60, 25.23, 35.60,  ,  ,  , 8.2
17:06:25, 568, 488, 95178, 2.30, 312.70, 25.16, 35.85,  , 41.465447, 1.921692, 8.0
17:06:29, 593, 513, 94905, 3.80, 233.80, 24.82, 36.50,  ,  ,  , 7.2
17:06:30, 600, 520, 94837, 3.50, 251.60, 24.75, 36.60,  ,  ,  , 7.0
17:06:31, 606, 526, 94770, 4.10, 255.90, 24.64, 36.75,  , 41.465385, 1.921430, 6.9
17:06:32, 611, 531, 94717, 3.05, 232.90, 24.47, 36.75,  ,  ,  , 6.5
17:06:33, 616, 536, 94666, 2.25, 248.90, 24.32, 36.90,  ,  ,  , 6.2
17:06:34, 620, 540, 94616, 4.60, 240.80, 24.17, 37.00,  , 41.465335, 1.921327, 6.0
17:06:36, 632, 552, 94486, 3.50, 239.20, 23.90, 37.40,  ,  ,  , 6.0
17:06:37, 638, 558, 94420, 4.20, 261.50, 23.84, 37.65,  , 41.465310, 1.921212, 5.9
17:06:39, 653, 573, 94262, 3.25, 237.00, 23.67, 38.00,  ,  ,  , 6.1
17:06:40, 660, 580, 94184, 4.40, 295.00, 23.59, 38.15,  , 41.465292, 1.921118, 6.1
17:06:42, 676, 596, 94012, 3.70, 264.50, 23.59, 38.60,  ,  ,  , 6.4
17:06:43, 684, 604, 93926, 3.40, 290.30, 23.59, 38.75,  , 41.465305, 1.920998, 6.5
17:06:45, 701, 621, 93751, 4.60, 277.30, 23.59, 38.85,  ,  ,  , 6.9
17:06:46, 709, 629, 93664, 4.15, 277.90, 23.56, 38.85,  , 41.465322, 1.920870, 7.2
17:06:48, 725, 645, 93496, 3.75, 284.20, 23.43, 38.95,  ,  ,  , 7.7
17:06:49, 732, 652, 93414, 3.75, 237.60, 23.34, 38.90,  , 41.465340, 1.920782, 7.8
17:06:51, 747, 667, 93258, 4.00, 307.70, 23.16, 39.05,  ,  ,  , 7.8
17:06:52, 754, 674, 93178, 0.05, 307.70, 23.06, 39.15,  , 41.465373, 1.920712, 7.8
17:06:55, 777, 697, 92938, 2.75, 256.10, 22.84, 39.35, 33.75, 41.465390, 1.920628, 7.7
17:06:56, 784, 704, 92867, 4.20, 288.20, 22.75, 39.45,  ,  ,  , 7.6
17:06:57, 790, 710, 92795, 0.10, 288.20, 22.67, 39.55,  ,  ,  , 7.5
17:06:58, 797, 717, 92724, 4.30, 332.10, 22.61, 39.65,  , 41.465413, 1.920548, 7.4
17:06:59, 804, 724, 92651, 2.95, 264.80, 22.56, 39.70,  ,  ,  , 7.3
17:07:00, 811, 731, 92578, 2.25, 267.80, 22.50, 39.75,  ,  ,  , 7.3
17:07:01, 818, 738, 92506, 4.20, 324.80, 22.45, 39.75,  , 41.465453, 1.920468, 7.2
17:07:02, 825, 745, 92426, 1.10, 41.90, 22.41, 39.85,  ,  ,  , 7.2
17:07:03, 833, 753, 92347, 3.45, 345.70, 22.39, 39.85,  ,  ,  , 7.1
17:07:04, 840, 760, 92268, 5.20, 327.40, 22.36, 39.90,  , 41.465528, 1.920440, 7.1
