# Radiation correction v2.3. Params: lat=41.4677, lon=1.9216, utc_time=2021-07-13 19:05
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 1003.05, 29.52, 32.0, 5.96, 349.4
40, 1000.82, 31.04, 31.0, 6.49, 357.2
60, 998.61, 32.23, 28.7, 6.94, 359.2
80, 996.39, 31.92, 27.7, 7.42, 355.9
100, 994.18, 31.55, 28.2, 7.16, 5.2
120, 991.98, 31.35, 28.6, 6.57, 4.5
140, 989.77, 31.27, 28.9, 5.35, 359.8
160, 987.58, 31.19, 29.0, 4.40, 359.6
180, 985.38, 31.03, 29.0, 4.23, 0.8
200, 983.19, 30.64, 29.1, 4.62, 350.9
220, 981.00, 30.20, 29.5, 4.50, 343.4
240, 978.81, 29.88, 29.8, 4.61, 336.4
260, 976.63, 29.58, 30.2, 4.16, 319.6
280, 974.44, 29.27, 30.6, 3.77, 310.0
300, 972.26, 29.01, 31.0, 3.15, 312.4
320, 970.08, 28.52, 31.2, 2.80, 291.1
340, 967.91, 27.96, 31.3, 2.25, 266.4
360, 965.73, 27.45, 31.5, 1.81, 265.7
380, 963.56, 27.07, 31.9, 1.75, 317.6
400, 961.38, 26.63, 32.5, 2.16, 2.3
420, 959.21, 26.21, 33.3, 2.42, 51.1
440, 957.04, 25.84, 34.1, 3.05, 56.3
460, 954.88, 25.51, 34.9, 3.29, 69.0
480, 952.71, 25.33, 35.3, 3.66, 89.6
500, 950.55, 24.97, 36.0, 3.55, 82.6
520, 948.40, 24.62, 36.7, 3.75, 65.1
540, 946.24, 24.33, 37.0, 3.62, 65.3
560, 944.09, 23.94, 37.5, 3.67, 71.5
580, 941.94, 23.68, 38.1, 3.76, 85.5
600, 939.79, 23.60, 38.6, 3.89, 96.7
620, 937.64, 23.56, 38.8, 3.92, 99.2
640, 935.51, 23.42, 38.9, 3.55, 94.6
660, 933.37, 23.26, 39.0, 3.17, 100.6
680, 931.24, 23.02, 39.2, 2.84, 105.6
700, 929.11, 22.74, 39.5, 2.68, 101.7
720, 926.99, 22.60, 39.6, 2.82, 120.6
740, 924.87, 22.46, 39.8, 3.39, 144.2
760, 922.75, 22.30, 39.9, 4.11, 161.5
780, 920.64, 22.08, 39.8, 4.54, 171.9
800, 918.53, 21.86, 39.6, 4.83, 176.9
820, 916.42, 21.62, 39.5, 4.94, 184.3
840, 914.31, 21.38, 39.7, 5.02, 199.7
860, 912.21, 21.12, 39.9, 5.13, 222.7
880, 910.11, 20.86, 40.3, 5.54, 235.8
900, 908.02, 20.65, 40.8, 5.62, 234.7
920, 905.92, 20.37, 41.5, 4.83, 228.5
940, 903.83, 20.09, 42.1, 4.04, 222.3
960, 901.75, 19.82, 42.7, 3.36, 209.5
980, 899.66, 19.57, 42.7, 3.57, 198.4
1000, 897.58, 19.28, 42.7, 3.90, 232.3
1020, 895.51, 18.89, 43.2, 3.89, 240.5
1040, 893.43, 18.50, 43.6, 3.44, 256.4
1060, 891.36, 18.18, 44.1, 3.04, 270.1
1080, 889.28, 17.82, 45.1, 2.69, 268.5
1100, 887.21, 17.49, 46.2, 2.41, 261.5
1120, 885.15, 17.27, 47.0, 2.27, 261.0
