UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
15:10:09, 135, 18, 98772, 7.40, 310.80, 39.31, 23.10, 52.00, 41.224933, 0.332295, -0.4
15:10:10, 135, 18, 98774,  ,  , 39.28, 23.10,  ,  ,  , -0.4
15:10:11, 134, 17, 98776,  ,  , 39.26, 23.15,  ,  ,  , -0.4
15:10:12, 134, 17, 98778,  ,  , 39.21, 23.20,  ,  ,  , -0.3
15:10:13, 134, 17, 98776,  ,  , 39.14, 23.30,  ,  ,  , -0.3
15:10:14, 134, 17, 98775,  ,  , 39.04, 23.25,  ,  ,  , -0.2
15:10:15, 135, 18, 98774,  ,  , 38.92, 23.25,  ,  ,  , -0.1
15:10:16, 135, 18, 98767, 6.95, 327.10, 38.81, 23.35,  ,  ,  , -0.1
15:10:17, 136, 19, 98760, 7.40, 318.90, 38.68, 23.45,  ,  ,  , 0
15:10:18, 136, 19, 98754, 6.55, 324.00, 38.60, 23.55,  , 41.225367, 0.331740, 0.1
15:10:19, 137, 20, 98743, 7.40, 318.90, 38.53, 23.70,  ,  ,  , 0.2
15:10:20, 138, 21, 98732, 5.40, 320.40, 38.50, 23.80,  ,  ,  , 0.3
15:10:21, 139, 22, 98722, 6.75, 316.60, 38.46, 23.90,  , 41.225553, 0.331528, 0.3
15:10:22, 141, 24, 98708, 6.75, 316.60, 38.42, 23.90,  ,  ,  , 0.5
15:10:23, 142, 25, 98696, 6.70, 313.20, 38.42, 24.00,  ,  ,  , 0.6
15:10:24, 143, 26, 98684, 6.35, 321.30, 38.46, 24.05,  , 41.225677, 0.331380, 0.7
15:10:27, 149, 32, 98618,  ,  , 38.59, 24.00,  ,  ,  , 1.1
15:10:28, 152, 35, 98588, 4.10, 313.70, 38.63, 23.95,  ,  ,  , 1.4
15:10:29, 155, 38, 98560, 4.10, 313.70, 38.67, 23.90,  ,  ,  , 1.6
15:10:30, 157, 40, 98532, 5.15, 321.60, 38.72, 23.85,  , 41.225863, 0.331128, 1.7
15:10:31, 160, 43, 98498,  ,  , 38.73, 23.80,  ,  ,  , 1.8
15:10:32, 164, 47, 98463,  ,  , 38.76, 23.75,  ,  ,  , 2.0
15:10:33, 167, 50, 98428,  ,  , 38.78, 23.70,  ,  ,  , 2.2
15:10:34, 171, 54, 98388,  ,  , 38.82, 23.70,  ,  ,  , 2.4
15:10:35, 174, 57, 98350,  ,  , 38.87, 23.65,  ,  ,  , 2.6
15:10:36, 178, 61, 98312,  ,  , 38.92, 23.60, 51.50,  ,  , 2.8
15:10:37, 181, 64, 98281, 6.20, 297.00, 38.95, 23.50,  ,  ,  , 2.9
15:10:38, 183, 66, 98252, 6.45, 293.30, 38.94, 23.50,  ,  ,  , 2.9
15:10:39, 186, 69, 98224, 7.15, 295.60, 38.99, 23.50,  , 41.226068, 0.330648, 3.1
15:10:40, 189, 72, 98193, 7.60, 297.70, 39.00, 23.45,  ,  ,  , 3.1
15:10:41, 192, 75, 98161, 7.60, 297.70, 39.03, 23.40,  ,  ,  , 3.1
15:10:42, 195, 78, 98130, 7.15, 293.60, 39.00, 23.35,  , 41.226188, 0.330330, 3.1
15:10:43, 198, 81, 98097,  ,  , 38.90, 23.35,  ,  ,  , 3.1
15:10:44, 201, 84, 98063,  ,  , 38.89, 23.35,  ,  ,  , 3.1
15:10:45, 204, 87, 98030,  ,  , 38.81, 23.40,  ,  ,  , 3.1
15:10:46, 209, 92, 97985, 6.75, 292.80, 38.70, 23.40,  ,  ,  , 3.2
15:10:47, 213, 96, 97941, 6.75, 292.80, 38.65, 23.50,  ,  ,  , 3.2
15:10:48, 217, 100, 97898, 7.55, 292.40, 38.58, 23.55,  , 41.226367, 0.329920, 3.3
15:10:49, 221, 104, 97855, 6.00, 300.50, 38.56, 23.60,  ,  ,  , 3.3
15:10:50, 225, 108, 97814, 6.00, 300.50, 38.50, 23.65,  ,  ,  , 3.4
15:10:51, 228, 111, 97774, 6.40, 289.70, 38.47, 23.70,  , 41.226437, 0.329688, 3.5
15:10:53, 234, 117, 97711, 7.25, 282.50, 38.37, 23.75,  ,  ,  , 3.5
15:10:54, 237, 120, 97680, 10.00, 290.30, 38.33, 23.85,  , 41.226492, 0.329407, 3.5
15:10:56, 242, 125, 97626,  ,  , 38.31, 23.85,  ,  ,  , 3.4
15:10:57, 245, 128, 97600,  ,  , 38.31, 23.90,  ,  ,  , 3.4
15:10:58, 246, 129, 97582,  ,  , 38.28, 24.00,  ,  ,  , 3.2
15:10:59, 248, 131, 97565,  ,  , 38.21, 23.95,  ,  ,  , 3.0
15:11:00, 250, 133, 97548,  ,  , 38.17, 24.00,  ,  ,  , 2.7
15:11:02, 253, 136, 97514, 8.10, 284.50, 38.11, 24.05,  ,  ,  , 2.3
15:11:03, 254, 137, 97498, 7.45, 292.20, 38.11, 24.10, 51.75, 41.226705, 0.328563, 2.2
15:11:05, 257, 140, 97472, 9.05, 288.60, 38.02, 24.15,  ,  ,  , 1.9
15:11:06, 258, 141, 97460, 7.10, 274.50, 37.96, 24.20,  , 41.226753, 0.328288, 1.7
15:11:08, 259, 142, 97453, 7.45, 288.60, 37.95, 24.25,  ,  ,  , 1.4
15:11:09, 259, 142, 97450, 6.65, 286.80, 37.96, 24.30,  , 41.226792, 0.328050, 1.2
15:11:11, 259, 142, 97444, 6.85, 283.90, 37.96, 24.30,  ,  ,  , 1.0
15:11:12, 260, 143, 97442, 5.85, 289.00, 37.92, 24.35,  , 41.226833, 0.327848, 0.9
15:11:13, 260, 143, 97442, 5.25, 285.30, 37.92, 24.40,  ,  ,  , 0.8
15:11:14, 260, 143, 97442, 7.40, 294.80, 37.93, 24.40,  ,  ,  , 0.7
