UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
10:40:47, 578, -11, 93972, 5.60, 312.40, 29.83, 30.20,  , 41.510465, 1.486245, 0.2
10:40:48, 579, -10, 93969, 5.65, 313.40, 29.82, 30.20,  ,  ,  , 0.2
10:40:49, 579, -10, 93966, 5.25, 320.60, 29.82, 30.05,  ,  ,  , 0.2
10:40:50, 579, -10, 93964, 5.35, 320.70, 29.81, 30.00,  , 41.510587, 1.486115, 0.2
10:40:51, 580, -9, 93957, 5.30, 322.00, 29.80, 30.05,  ,  ,  , 0.3
10:40:52, 580, -9, 93950, 5.15, 344.30, 29.81, 30.20,  ,  ,  , 0.3
10:40:53, 581, -8, 93944, 5.40, 350.20, 29.81, 30.55,  , 41.510762, 1.486063, 0.3
10:40:54, 581, -8, 93939,  ,  , 29.81, 30.60,  ,  ,  , 0.3
10:40:55, 582, -7, 93934,  ,  , 29.81, 30.55,  ,  ,  , 0.3
10:40:56, 582, -7, 93930,  ,  , 29.80, 30.20,  ,  ,  , 0.3
10:40:57, 583, -6, 93925, 4.25, 340.20, 29.78, 29.75,  ,  ,  , 0.3
10:40:58, 583, -6, 93921, 4.10, 332.20, 29.78, 29.30,  ,  ,  , 0.4
10:40:59, 584, -5, 93918, 3.85, 326.90, 29.75, 29.20,  , 41.511003, 1.485955, 0.4
10:41:01, 584, -5, 93914, 1.65, 337.90, 29.75, 30.30,  ,  ,  , 0.4
10:41:02, 584, -5, 93912, 1.65, 5.20, 29.77, 30.60, 34.75, 41.511047, 1.485960, 0.4
10:41:03, 584, -5, 93909, 2.05, 35.60, 29.77, 30.55,  ,  ,  , 0.4
10:41:04, 585, -4, 93906, 2.65, 48.80, 29.78, 30.30,  ,  ,  , 0.4
10:41:05, 585, -4, 93904, 3.20, 59.30, 29.79, 30.00,  , 41.511190, 1.486048, 0.3
10:41:06, 585, -4, 93900, 3.45, 67.50, 29.79, 29.80,  ,  ,  , 0.3
10:41:07, 586, -3, 93897, 4.15, 67.90, 29.80, 29.65,  ,  ,  , 0.3
10:41:08, 586, -3, 93894, 4.55, 72.00, 29.80, 29.50,  , 41.511233, 1.486193, 0.3
10:41:09, 586, -3, 93891, 5.00, 71.30, 29.80, 29.25,  ,  ,  , 0.3
10:41:10, 586, -3, 93888, 5.35, 66.90, 29.80, 29.25,  ,  ,  , 0.3
10:41:11, 587, -2, 93886, 5.65, 60.10, 29.80, 29.60,  , 41.511305, 1.486373, 0.3
10:41:12, 587, -2, 93878, 5.75, 56.40, 29.80, 29.95,  ,  ,  , 0.3
10:41:13, 588, -1, 93871, 5.80, 50.00, 29.80, 30.15,  ,  ,  , 0.3
10:41:14, 589, 0, 93864, 5.80, 44.50, 29.79, 30.60,  , 41.511410, 1.486523, 0.4
10:41:15, 590, 0, 93852, 5.40, 46.90, 29.79, 30.85,  ,  ,  , 0.5
10:41:16, 591, 1, 93841, 5.10, 51.30, 29.78, 31.05,  ,  ,  , 0.5
10:41:17, 592, 2, 93830, 4.85, 51.70, 29.77, 30.95,  , 41.511503, 1.486660, 0.6
10:41:18, 593, 3, 93821, 4.85, 53.10, 29.74, 30.80,  ,  ,  , 0.6
10:41:19, 594, 4, 93813, 4.45, 53.40, 29.73, 30.55,  ,  ,  , 0.7
10:41:20, 594, 4, 93806, 4.00, 56.90, 29.72, 30.55,  , 41.511572, 1.486788, 0.7
10:41:21, 595, 5, 93800, 3.85, 55.10, 29.71, 30.75,  ,  ,  , 0.7
10:41:22, 595, 5, 93794, 3.90, 57.90, 29.70, 30.85,  ,  ,  , 0.8
10:41:23, 596, 6, 93788, 3.90, 53.90, 29.69, 30.75,  , 41.511633, 1.486905, 0.8
10:41:24, 597, 7, 93781,  ,  , 29.68, 30.25,  ,  ,  , 0.8
10:41:25, 597, 7, 93775,  ,  , 29.66, 30.00,  ,  ,  , 0.8
10:41:26, 598, 8, 93770,  ,  , 29.65, 29.95,  ,  ,  , 0.7
10:41:28, 599, 9, 93760, 3.00, 1.60, 29.64, 30.70,  ,  ,  , 0.7
10:41:29, 599, 9, 93756, 3.15, 348.70, 29.63, 31.05, 34.50, 41.511813, 1.486972, 0.6
10:41:31, 600, 10, 93745, 3.60, 335.40, 29.60, 30.60,  ,  ,  , 0.6
10:41:32, 601, 11, 93740, 3.20, 326.80, 29.58, 30.35,  , 41.511895, 1.486890, 0.5
10:41:33, 601, 11, 93733, 3.65, 316.00, 29.57, 30.15,  ,  ,  , 0.5
10:41:34, 602, 12, 93727, 3.80, 313.00, 29.56, 29.90,  ,  ,  , 0.5
10:41:35, 602, 12, 93722, 4.30, 316.80, 29.54, 29.70,  , 41.511982, 1.486777, 0.5
10:41:36, 603, 13, 93715, 4.60, 320.60, 29.52, 29.60,  ,  ,  , 0.5
10:41:37, 603, 13, 93709, 4.60, 329.10, 29.50, 29.70,  ,  ,  , 0.5
10:41:38, 604, 14, 93704, 4.80, 332.40, 29.45, 29.60,  , 41.512102, 1.486687, 0.5
10:41:39, 605, 15, 93695, 4.60, 329.10, 29.42, 29.50,  ,  ,  , 0.5
10:41:40, 606, 16, 93687, 4.90, 328.00, 29.39, 29.30,  ,  ,  , 0.6
10:41:41, 606, 16, 93680, 4.90, 328.50, 29.35, 29.20,  , 41.512218, 1.486588, 0.6
10:41:42, 607, 17, 93672, 4.90, 326.70, 29.30, 29.10,  ,  ,  , 0.6
10:41:43, 608, 18, 93665, 4.90, 317.00, 29.27, 29.15,  ,  ,  , 0.6
10:41:44, 608, 18, 93658, 5.70, 304.60, 29.23, 29.25,  , 41.512318, 1.486458, 0.7
10:41:45, 609, 19, 93651, 5.85, 307.60, 29.19, 29.30,  ,  ,  , 0.7
10:41:46, 610, 20, 93645, 5.70, 308.00, 29.14, 29.35,  ,  ,  , 0.6
10:41:47, 610, 20, 93640, 5.35, 310.60, 29.09, 29.25,  , 41.512413, 1.486298, 0.6
10:41:48, 611, 21, 93634, 5.35, 309.20, 29.05, 29.20,  ,  ,  , 0.6
10:41:49, 611, 21, 93629, 5.60, 304.30, 29.01, 29.20,  ,  ,  , 0.6
10:41:50, 612, 22, 93624, 5.90, 301.80, 28.98, 29.15,  , 41.512513, 1.486130, 0.6
10:41:51, 612, 22, 93620, 6.30, 305.20, 28.96, 29.15,  ,  ,  , 0.6
10:41:52, 612, 22, 93616, 6.35, 312.00, 28.95, 29.15,  ,  ,  , 0.6
10:41:53, 613, 23, 93612, 5.90, 317.60, 28.94, 29.20,  , 41.512650, 1.485953, 0.6
10:41:55, 613, 23, 93605, 5.40, 332.60, 28.93, 29.40,  ,  ,  , 0.5
10:41:56, 614, 24, 93602, 5.85, 342.60, 28.93, 29.45, 34.50, 41.512805, 1.485863, 0.5
10:41:58, 617, 27, 93571, 6.05, 340.60, 28.94, 29.45,  ,  ,  , 0.6
10:41:59, 618, 28, 93556, 6.00, 337.70, 28.94, 29.50,  , 41.512965, 1.485778, 0.7
10:42:01, 619, 29, 93546, 5.80, 332.10, 28.95, 29.55,  ,  ,  , 0.6
10:42:02, 619, 29, 93542, 6.05, 332.90, 28.96, 29.55,  , 41.513122, 1.485678, 0.6
10:42:03, 620, 30, 93536, 6.40, 331.20, 28.96, 29.50,  ,  ,  , 0.7
10:42:04, 621, 31, 93530, 6.65, 330.80, 28.97, 29.45,  ,  ,  , 0.7
10:42:05, 621, 31, 93524, 6.55, 327.40, 28.98, 29.40,  , 41.513300, 1.485545, 0.7
10:42:06, 623, 33, 93509, 6.55, 331.20, 28.99, 29.35,  ,  ,  , 0.8
