# Radiation correction v2.3. Params: lat=41.5178, lon=1.4944, utc_time=2021-07-25 20:19
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 918.75, 21.21, 67.0, 8.95, 203.8
40, 916.65, 21.30, 66.7, 9.18, 209.0
60, 914.55, 21.45, 66.2, 9.38, 212.0
80, 912.46, 21.74, 65.5, 9.90, 210.6
100, 910.37, 21.65, 65.5, 9.96, 210.3
120, 908.28, 21.56, 65.6, 10.03, 210.0
140, 906.20, 21.47, 65.6, 10.09, 209.7
160, 904.12, 21.38, 65.6, 10.16, 209.5
180, 902.05, 21.29, 65.6, 10.22, 209.2
200, 899.98, 21.20, 65.6, 10.29, 208.9
220, 897.91, 21.11, 65.6, 10.35, 208.7
240, 895.85, 21.02, 65.6, 10.42, 208.4
260, 893.79, 20.93, 65.6, 10.48, 208.1
280, 891.74, 20.85, 65.6, 10.55, 207.8
300, 889.69, 20.76, 65.6, 10.61, 207.6
320, 887.65, 20.67, 65.6, 10.68, 207.3
340, 885.61, 20.58, 65.6, 10.74, 207.0
360, 883.57, 20.49, 65.6, 10.81, 206.7
380, 881.54, 20.40, 65.7, 10.87, 206.5
400, 879.51, 20.31, 65.7, 10.94, 206.2
420, 877.48, 20.22, 65.7, 11.00, 205.9
440, 875.46, 20.13, 65.7, 11.07, 205.6
460, 873.45, 20.04, 65.7, 11.13, 205.4
480, 871.44, 19.95, 65.7, 11.20, 205.1
500, 869.43, 19.86, 65.7, 11.26, 204.8
520, 867.42, 19.77, 65.7, 11.33, 204.5
540, 865.42, 19.68, 65.7, 11.39, 204.3
560, 863.43, 19.59, 65.7, 11.46, 204.0
580, 861.44, 19.50, 65.7, 11.52, 203.7
600, 859.45, 19.41, 65.7, 11.59, 203.4
620, 857.47, 19.32, 65.8, 11.65, 203.2
640, 855.49, 19.24, 65.8, 11.72, 202.9
660, 853.51, 19.15, 65.8, 10.95, 202.6
