UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
18:42:03, 95, 1, 100904, 1.70, 220.50, 31.96, 33.65, 31.75, 42.071343, 3.145890, -0.3
18:42:05, 98, 4, 100873, 3.45, 208.10, 31.93, 32.95,  ,  ,  , 0
18:42:06, 99, 5, 100858, 3.70, 199.30, 31.92, 32.95,  , 42.071297, 3.145843, 0.1
18:42:07, 102, 8, 100826, 4.00, 206.00, 31.91, 32.55,  ,  ,  , 0.3
18:42:08, 105, 11, 100793, 3.85, 212.10, 31.90, 32.30,  ,  ,  , 0.6
18:42:09, 108, 14, 100760, 4.20, 199.00, 31.91, 31.95,  , 42.071237, 3.145728, 0.8
18:42:10, 111, 17, 100723, 4.65, 200.60, 31.89, 31.70,  ,  ,  , 1.1
18:42:11, 114, 20, 100688, 4.65, 190.70, 31.91, 31.40,  ,  ,  , 1.4
18:42:12, 117, 23, 100654, 4.60, 182.20, 31.93, 31.15,  , 42.071118, 3.145680, 1.6
18:42:13, 119, 25, 100627, 5.05, 186.50, 31.94, 31.00,  ,  ,  , 1.9
18:42:14, 122, 28, 100599, 4.65, 203.40, 32.00, 30.85,  ,  ,  , 2.1
18:42:15, 124, 30, 100572, 5.20, 200.70, 32.08, 30.65,  , 42.070997, 3.145630, 2.3
18:42:17, 132, 38, 100487, 4.45, 204.30, 32.35, 30.10,  ,  ,  , 2.9
18:42:18, 136, 42, 100446, 5.20, 207.70, 32.49, 29.90,  , 42.070882, 3.145562, 3.1
18:42:20, 141, 47, 100390, 3.65, 217.80, 32.75, 29.90,  ,  ,  , 3.0
18:42:21, 143, 49, 100362, 1.70, 224.60, 32.86, 29.85,  , 42.070843, 3.145482, 3.0
18:42:22, 146, 52, 100332, 3.30, 295.80, 33.03, 29.80,  ,  ,  , 2.9
18:42:23, 149, 55, 100304, 3.25, 245.40, 33.18, 29.60,  ,  ,  , 2.9
18:42:24, 151, 57, 100276, 0.00, 245.40, 33.30, 29.50,  , 42.070833, 3.145407, 2.8
18:42:26, 159, 65, 100191, 3.55, 338.80, 33.48, 29.40,  ,  ,  , 3.1
18:42:27, 163, 69, 100148, 3.50, 356.60, 33.55, 29.35,  , 42.070922, 3.145345, 3.2
18:42:28, 167, 73, 100095, 3.85, 23.40, 33.63, 29.05,  ,  ,  , 3.3
18:42:29, 172, 78, 100044, 4.25, 327.00, 33.70, 28.90,  ,  ,  , 3.4
18:42:30, 177, 83, 99994, 5.75, 5.70, 33.75, 28.80, 33.00, 42.071033, 3.145327, 3.4
18:42:31, 182, 88, 99939, 6.75, 327.30, 33.77, 28.75,  ,  ,  , 3.5
18:42:32, 187, 93, 99883, 7.10, 2.20, 33.78, 28.90,  ,  ,  , 3.6
18:42:33, 192, 98, 99828, 5.30, 355.90, 33.74, 29.05,  , 42.071200, 3.145272, 3.9
18:42:34, 197, 103, 99773, 7.35, 6.70, 33.70, 29.25,  ,  ,  , 4.2
18:42:35, 202, 108, 99720, 10.45, 354.60, 33.67, 29.20,  ,  ,  , 4.4
18:42:36, 206, 112, 99668, 6.95, 354.10, 33.62, 29.30,  , 42.071425, 3.145253, 4.6
18:42:37, 211, 117, 99617, 8.55, 356.40, 33.60, 29.45,  ,  ,  , 4.6
18:42:38, 216, 122, 99563, 7.75, 347.10, 33.59, 29.50,  ,  ,  , 4.8
18:42:39, 221, 127, 99510, 8.10, 14.70, 33.65, 29.60,  , 42.071647, 3.145233, 4.8
18:42:40, 227, 133, 99442, 7.60, 8.80, 33.67, 29.60,  ,  ,  , 4.9
18:42:41, 233, 139, 99378, 8.25, 7.70, 33.75, 29.60,  ,  ,  , 5.0
18:42:42, 239, 145, 99314, 10.10, 352.30, 33.99, 29.55,  , 42.071880, 3.145245, 5.2
18:42:43, 244, 150, 99258, 9.40, 7.90, 34.30, 29.50,  ,  ,  , 5.2
18:42:44, 249, 155, 99201, 11.45, 2.80, 34.98, 29.50,  ,  ,  , 5.2
18:42:45, 254, 160, 99144, 9.50, 4.10, 35.52, 29.25,  , 42.072158, 3.145270, 5.2
18:42:46, 261, 167, 99074, 13.15, 8.60, 35.86, 28.55,  ,  ,  , 5.3
18:42:47, 267, 173, 99004, 12.85, 5.90, 36.33, 28.00,  ,  ,  , 5.4
18:42:48, 274, 180, 98934, 11.80, 5.50, 36.78, 27.40,  , 42.072497, 3.145310, 5.6
18:42:49, 284, 190, 98820, 11.45, 5.10, 37.20, 26.80,  ,  ,  , 6.1
